#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 240  48
# Band-Index    1
   0.00000    -15.080272  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.674
   0.00744    -15.080267  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.674
   0.01488    -15.080248  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.674
   0.02232    -15.080217  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.02976    -15.080168  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.03720    -15.080105  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.04464    -15.080028  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.05208    -15.079937  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.05952    -15.079832  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.06696    -15.079723  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.07440    -15.079598  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.08184    -15.079455  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.08928    -15.079312  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.09672    -15.079144  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.10416    -15.078967  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.11160    -15.078779  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.11904    -15.078581  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.12648    -15.078373  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.13392    -15.078156  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.14136    -15.077933  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.14880    -15.077699  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.15624    -15.077458  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.16368    -15.077202  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.17112    -15.076952  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.17856    -15.076688  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.18600    -15.076430  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.19344    -15.076166  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.20088    -15.075902  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.20832    -15.075633  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.21575    -15.075362  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.22319    -15.075091  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.23063    -15.074820  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.23807    -15.074552  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.24551    -15.074285  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.25295    -15.074019  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.26039    -15.073757  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.26783    -15.073500  0.677  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.27527    -15.073236  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.28271    -15.072989  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.29015    -15.072747  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.29759    -15.072511  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.30503    -15.072284  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   0.31247    -15.072064  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.31991    -15.071852  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.32735    -15.071651  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.33479    -15.071462  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.34223    -15.071283  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.34967    -15.071114  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.35711    -15.070957  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.36455    -15.070812  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.37199    -15.070685  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.37943    -15.070564  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.38687    -15.070456  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.39431    -15.070363  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.40175    -15.070286  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.40919    -15.070221  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.679
   0.41663    -15.070171  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.42407    -15.070135  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.43151    -15.070126  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.43895    -15.070120  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.43895    -15.070120  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.45347    -15.069825  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.46798    -15.068934  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.48250    -15.067463  0.679  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.49702    -15.065414  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.51153    -15.062787  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.52605    -15.059594  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.681
   0.54057    -15.055828  0.681  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.681
   0.55508    -15.051503  0.681  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.681
   0.56960    -15.046619  0.681  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   0.58412    -15.041204  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
