#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 240  24
# Band-Index    1
   0.00000    -15.006217  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.00744    -15.006213  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.01488    -15.006196  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.02232    -15.006171  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.02976    -15.006129  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.03720    -15.006074  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.04464    -15.006007  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.05208    -15.005928  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.05952    -15.005836  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.06696    -15.005742  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.07440    -15.005633  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.08184    -15.005508  0.674  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.08928    -15.005386  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.09672    -15.005238  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.10416    -15.005084  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.11160    -15.004920  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.11904    -15.004747  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.12648    -15.004565  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.13392    -15.004375  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.675
   0.14136    -15.004182  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.14880    -15.003977  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.15624    -15.003766  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.16368    -15.003542  0.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.17112    -15.003324  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.17856    -15.003092  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.18600    -15.002866  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.19344    -15.002636  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.20088    -15.002406  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.20832    -15.002172  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.21575    -15.001936  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
   0.22319    -15.001699  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.677
