#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  20
# Band-Index    1
   0.00000    -19.573938  0.648  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.648
   0.02499    -19.572232  0.648  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.648
   0.04998    -19.567117  0.648  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.648
   0.07497    -19.558595  0.648  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.648
   0.09996    -19.546662  0.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.648
   0.12495    -19.531321  0.646  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.648
   0.14994    -19.512573  0.646  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.648
   0.17493    -19.490417  0.646  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.648
   0.19991    -19.464864  0.644  0.002  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.648
   0.22490    -19.435911  0.644  0.002  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.650
   0.24989    -19.403563  0.642  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.650
   0.27488    -19.367824  0.642  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.650
   0.29987    -19.328696  0.640  0.002  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.650
   0.32486    -19.286184  0.638  0.004  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.650
   0.34985    -19.240300  0.638  0.004  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.652
   0.37484    -19.191037  0.636  0.004  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.652
   0.39983    -19.138408  0.634  0.004  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.652
   0.42482    -19.082422  0.632  0.006  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.652
   0.44981    -19.023077  0.630  0.006  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.654
   0.47480    -18.960384  0.628  0.006  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.654
   0.49979    -18.894360  0.626  0.008  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.654
   0.52478    -18.824996  0.624  0.008  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.656
   0.54977    -18.752320  0.622  0.008  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.656
   0.57475    -18.676328  0.618  0.010  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.656
   0.59974    -18.597048  0.616  0.010  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.658
   0.62473    -18.514460  0.614  0.012  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.658
   0.64972    -18.428597  0.612  0.012  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.660
   0.67471    -18.339463  0.608  0.014  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.660
   0.69970    -18.247080  0.606  0.014  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.662
   0.72469    -18.151466  0.602  0.014  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.662
   0.74968    -18.052618  0.600  0.016  0.000  0.048  0.000  0.000  0.000  0.000  0.000  0.664
   0.77467    -17.950571  0.596  0.016  0.000  0.050  0.000  0.000  0.000  0.000  0.000  0.664
   0.79966    -17.845327  0.594  0.018  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.666
   0.82465    -17.736940  0.590  0.020  0.000  0.058  0.000  0.000  0.000  0.000  0.000  0.666
   0.84964    -17.625401  0.586  0.020  0.000  0.060  0.000  0.000  0.000  0.000  0.000  0.668
   0.87463    -17.510730  0.584  0.022  0.000  0.064  0.000  0.000  0.000  0.000  0.000  0.670
   0.89962    -17.392961  0.580  0.022  0.000  0.068  0.000  0.000  0.000  0.000  0.000  0.670
   0.92460    -17.272135  0.576  0.024  0.000  0.072  0.000  0.000  0.000  0.000  0.000  0.672
   0.94959    -17.148264  0.574  0.024  0.000  0.074  0.000  0.000  0.000  0.000  0.000  0.674
   0.97458    -17.021386  0.570  0.026  0.000  0.078  0.000  0.000  0.000  0.000  0.000  0.674
   0.99957    -16.891553  0.566  0.028  0.000  0.082  0.000  0.000  0.000  0.000  0.000  0.676
   1.02456    -16.758806  0.562  0.028  0.000  0.086  0.000  0.000  0.000  0.000  0.000  0.678
   1.04955    -16.623206  0.560  0.030  0.000  0.090  0.000  0.000  0.000  0.000  0.000  0.678
   1.07454    -16.484795  0.556  0.032  0.000  0.094  0.000  0.000  0.000  0.000  0.000  0.680
   1.09953    -16.343647  0.552  0.032  0.000  0.098  0.000  0.000  0.000  0.000  0.000  0.682
   1.12452    -16.199883  0.550  0.034  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.684
   1.14951    -16.053671  0.546  0.034  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.686
   1.17450    -15.905012  0.544  0.036  0.000  0.108  0.000  0.000  0.000  0.000  0.000  0.688
   1.19949    -15.754133  0.542  0.038  0.000  0.112  0.000  0.000  0.000  0.000  0.000  0.690
   1.22448    -15.601273  0.540  0.038  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.692
   1.24947    -15.446776  0.538  0.040  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.694
   1.27446    -15.291145  0.538  0.040  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.698
   1.29944    -15.135039  0.538  0.040  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.700
   1.32443    -14.979423  0.540  0.040  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.704
   1.34942    -14.826053  0.544  0.040  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.706
   1.37441    -14.677671  0.552  0.040  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.710
   1.39940    -14.539195  0.562  0.038  0.000  0.116  0.000  0.000  0.000  0.000  0.000  0.716
   1.42439    -14.419600  0.578  0.036  0.000  0.108  0.000  0.000  0.000  0.000  0.000  0.722
   1.44938    -14.334113  0.594  0.034  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.726
   1.47437    -14.302136  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.47437    -14.302136  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.48880    -14.301649  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.50323    -14.300188  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.51765    -14.297753  0.602  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
   1.53208    -14.294344  0.600  0.032  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.730
