[Header]
TITLE,20201219-Sample 4.9mg.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.9,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3817569451.90038,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck2145_1.cal|Addenda #3 measured on 12/19/2020 from 2.0224 to 100.95 K
3817569451.90739,,1857,100,100,-0.25481588,9.8999999E-6,100.74532,1.9438968,1431.2194,3.862,2154.145,1.422,3585.3645,3.862,0.065391226,42.983457,1.1514281,89.607652,,,1,,,,8.4997429E-5,84.022339,10149.619,14.206312,0
3817569777.29956,,1857,100.001,100.001,0.20627953,9.8999999E-6,100.67708,1.9512232,1435.0368,3.458,2151.2872,1.42,3586.324,3.458,0.06859261,43.351367,1.1824892,89.437118,,,1,,,,8.4336007E-5,85.966914,10135.874,14.253858,0
3817570104.68646,,1857,99.9996,99.9996,0.21841362,9.8999999E-6,100.64022,1.9622176,1436.7021,2.818,2149.7872,1.419,3586.4893,2.818,0.12749795,43.552499,1.1980965,89.356206,,,1,,,,8.3968138E-5,86.702733,10128.453,14.275626,0
3817571375.3747,,1857,90.4548,90.4548,0.19414544,9.8999999E-6,91.181133,1.9148757,1280.3714,3.542,1783.9025,1.209,3064.2738,3.542,0.078706043,39.716848,1.0654364,89.696068,,,1,,,,7.8743943E-5,87.104997,8313.9989,14.042065,0
3817571680.07627,,1857,90.4554,90.4554,0.23054773,9.8999999E-6,91.034082,1.7672714,1284.7533,2.838,1778.7157,1.206,3063.469,2.838,0.092361517,40.215143,1.1301432,89.245728,,,1,,,,7.7839202E-5,79.433696,8287.204,14.112883,0
3817571986.02591,,1857,90.4564,90.4564,0.26694998,9.8999999E-6,91.010191,1.7815588,1286.7607,2.295,1777.8686,1.206,3064.6293,2.295,0.17401,40.473564,1.1515284,89.123458,,,1,,,,7.7397169E-5,80.430286,8282.8549,14.138644,0
3817573136.25043,,1857,81.8228,81.8228,0.19414544,9.8999999E-6,82.46148,1.7428327,1138.039,3.13,1478.26,1.022,2616.299,3.13,0.081024464,36.573513,1.0112656,89.467845,,,1,,,,7.3175074E-5,80.947129,6799.8956,13.800856,0
3817573416.72505,,1857,81.8228,81.8228,0.097072721,9.8999999E-6,82.323821,1.601236,1142.1535,2.439,1473.8106,1.019,2615.9641,2.439,0.10278524,37.046905,1.0693214,89.040465,,,1,,,,7.2319486E-5,73.147026,6777.2115,13.873913,0
3817573700.77624,,1857,81.8229,81.8229,0.16987726,9.8999999E-6,82.300391,1.6149778,1144.0035,1.958,1473.0391,1.019,2617.0427,1.958,0.21848479,37.281487,1.0876712,88.931774,,,1,,,,7.1917723E-5,74.09381,6773.3543,13.900341,0
3817574745.21034,,1857,74.0128,74.0128,0.08493863,9.8999999E-6,74.578139,1.5895053,999.26226,2.706,1222.9308,0.8684,2222.1931,2.706,0.09043045,33.484471,0.94190021,89.334297,,,1,,,,6.8014602E-5,74.562974,5561.8988,13.398863,0
3817575005.37605,,1857,74.0139,74.0139,0.10920681,9.8999999E-6,74.451449,1.4568142,1002.719,2.117,1219.2371,0.8661,2221.9562,2.117,0.12229376,33.914539,0.99199696,88.938653,,,1,,,,6.722709E-5,66.968941,5543.0182,13.468093,0
3817575267.92924,,1857,74.0138,74.0138,0.10920681,9.8999999E-6,74.42762,1.4690141,1004.4629,1.71,1218.5133,0.8656,2222.9761,1.71,0.27286648,34.131507,1.0065405,88.854433,,,1,,,,6.684982E-5,67.829079,5539.4706,13.495835,0
