[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3828684803.44002,04/27/2021,11:35 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 316, MultiVu Release 2.2.1.73,APPNAME
INFO,0,MOMENT_UNITS
INFO,NTO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,28.835,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,55.27,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3828684816.14852,1.80010253190994,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,1.79942464828491,1.80119252204895,1000.05786132813,1000.05786132813,,,2.34817361831665,-99999999,1,0,0,0,0.013885498046875,29.8142719268799,1,1,1,1.80023837089539,0,2080379808,1.80018565654755,,,0.0312592337183484,0.00157557115988982,0.0314936875317314,0.00157604768325786,0.873739242553711,0.958420217037201,31.3462200164795,0.190861418843269,30,4,200,-0.00087032321607694,-1.2828608751297,0.216889157891274,1,,,,,,,,,,,,,,,,
,3828684832.6628,1.82920891046524,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,1.8145524263382,1.84306919574738,1000.05786132813,1000.05786132813,,,2.38934016227722,-99999999,1,0,0,0,0.0147247314453125,30.3030319213867,2,1,1,1.84386539459229,0,2080379904,1.82807974815369,,,0.0311332141322134,0.00156920760131732,0.0313662884514908,0.00156966963303725,0.873796761035919,0.958457112312317,31.3464088439941,0.190852627158165,30,4,200,-0.000846610229928046,-1.28180491924286,0.223717927932739,1,,,,,,,,,,,,,,,,
,3828684859.13934,1.91666656732559,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,1.90065670013428,1.93104577064514,1000.05786132813,1000.05786132813,,,2.46642160415649,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,1.93267643451691,0,2080379712,1.91603909730911,,,0.0308152138346999,0.00155323199573021,0.0310472062795046,0.0015537045958929,0.873531877994537,0.958409011363983,31.3453960418701,0.190870568156242,30,4,200,-0.000836826278828084,-1.26274645328522,0.217022716999054,1,,,,,,,,,,,,,,,,
,3828684889.13568,2.01647484302521,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.00021433830261,2.03156661987305,1000.05786132813,1000.05786132813,,,2.53882622718811,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,2.0327353477478,0,2080379808,2.01606006622314,,,0.0305106328304376,0.00153789884176921,0.0307406286382381,0.00153836214149329,0.873436212539673,0.958417594432831,31.3450012207031,0.190874561667442,30,4,200,-0.00077725067967549,-1.25436997413635,0.211229249835014,1,,,,,,,,,,,,,,,,
,3828684919.07639,2.11637473106384,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.10035753250122,2.1318826675415,1000.05786132813,1000.05786132813,,,2.60606122016907,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,2.13239192962646,0,2080379872,2.11588959693909,,,0.0302525549996804,0.00152491209516073,0.0304813329963553,0.00152538435589767,0.873325705528259,0.958446681499481,31.3445491790771,0.190863937139511,30,4,200,-0.000804604671429843,-1.24788689613342,0.216404005885124,1,,,,,,,,,,,,,,,,
,3828684949.10838,2.21652019023895,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.20046854019165,2.23234701156616,1000.05786132813,1000.05786132813,,,2.6714813709259,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,2.23257184028626,0,2080379840,2.21608598232269,,,0.0299952308532616,0.00151195619980454,0.0302225827530077,0.0015124307229723,0.873248040676117,0.9585200548172,31.344087600708,0.190887361764908,30,4,200,-0.000777774315793067,-1.23092782497406,0.211148232221603,1,,,,,,,,,,,,,,,,
,3828684979.12131,2.31635355949402,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.30005812644958,2.33184719085693,1000.05786132813,1000.05786132813,,,2.73443913459778,-99999999,1,0,0,0,0.013885498046875,29.8142719268799,2,1,1,2.33264899253845,0,2080379840,2.31603524684906,,,0.029754404223513,0.00149985800823275,0.0299807079232021,0.00150032416443288,0.873037397861481,0.958563566207886,31.3432350158691,0.19087079167366,30,4,200,-0.000767692748922855,-1.2237114906311,0.206154778599739,1,,,,,,,,,,,,,,,,
,3828685009.04113,2.41625595092773,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.40047287940979,2.42931985855103,1000.05786132813,1000.05786132813,,,2.79597401618958,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,2.43203902244568,0,2080379840,2.41557838916779,,,0.0295239631452326,0.00148823729989029,0.0297487536409231,0.00148871231100584,0.873059511184692,0.958624482154846,31.3431835174561,0.190893307328224,30,4,200,-0.000754811626393348,-1.21829056739807,0.212354421615601,1,,,,,,,,,,,,,,,,
,3828685039.08538,2.5162718296051,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.50013780593872,2.53092741966248,1000.05786132813,1000.05786132813,,,2.85651874542236,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,2.53240585327148,0,2080379808,2.51579735279083,,,0.0293004210689931,0.00147699050036625,0.0295237984419146,0.00147745236466803,0.872948050498962,0.958669543266296,31.3427200317383,0.19087715446949,30,4,200,-0.000749443424865603,-1.20106887817383,0.207661494612694,1,,,,,,,,,,,,,,,,
,3828685069.20754,2.61654353141785,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,2.60047316551209,2.63141632080078,1000.05786132813,1000.05786132813,,,2.91573452949524,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,2.63261389732361,0,2080379936,2.61627876758575,,,0.0290846259209627,0.00146613201929291,0.0293070626050384,0.00146660591923402,0.872846961021423,0.95868057012558,31.3422794342041,0.190889328718185,30,4,200,-0.000743881391827017,-1.1956102848053,0.202913418412209,1,,,,,,,,,,,,,,,,
