# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.66410314    0.34510791   -0.15960334    0.00075334    0.88988720    0.56901608   -0.43086143   -0.38090645
   -0.02186298   -0.73553321   -0.15954640    0.00000000    0.89559386   -0.41703244   -0.38411541    0.55848264
   -0.63760739    0.35613190   -0.15990122    0.00006423    0.90225963   -0.40627501    0.55371034   -0.39064021
    0.02044357    0.73445560    0.15801521    0.00000000    0.89641997    0.41471924    0.38393928   -0.55832222
    0.65711855   -0.34592602    0.16043927    0.00000000    0.89083544    0.42567165   -0.56368982    0.38204141
   -0.65525043    0.34620868   -0.15960847    0.00052496    0.89174989   -0.42372127    0.56282756   -0.38186591
   -0.65747590    0.34571644   -0.15957322    0.00058266    0.89097809   -0.42559267    0.56430683   -0.38142015
   -0.63491129    0.35904542   -0.15986612    0.00001554    0.90367960   -0.40296128    0.55296482   -0.39315502
   -0.62574910    0.38358158   -0.15852788    0.00053428    0.89722872   -0.38472131    0.55741014   -0.41380490
   -0.64448415    0.35074598   -0.15978278    0.00025714    0.89774841   -0.41373270    0.55660635   -0.38589839
    0.65797591    0.34565105   -0.15964415    0.00088361    0.89068818    0.56461885   -0.42603346   -0.38139927
   -0.63680981    0.35693239   -0.15988931    0.00004069    0.90272527   -0.40532064    0.55346388   -0.39133000
   -0.62748389    0.37268427   -0.15919006    0.00031258    0.90285977   -0.39109929    0.55364407   -0.40466800
   -0.63413182    0.36001053   -0.15985525    0.00004023    0.90398166   -0.40194951    0.55280300   -0.39398845
   -0.62857156    0.39866567   -0.15776170    0.00086359    0.89011392   -0.37990160    0.56647936   -0.42652848
   -0.64566936    0.35004880   -0.15975118    0.00028277    0.89696826   -0.41491192    0.55721159   -0.38527634
   -0.62964077    0.40105333   -0.15757637    0.00090682    0.88972572   -0.37957480    0.56841597   -0.42851003
   -0.62633007    0.39102312   -0.15805755    0.00070034    0.89310019   -0.38168589    0.56132027   -0.42003509
    0.65284702    0.34692276   -0.15966963    0.00099409    0.89258259    0.56129762   -0.42163261   -0.38251764
   -0.66058220    0.34527141   -0.15953968    0.00065982    0.89024473   -0.42810752    0.56646884   -0.38101630
    0.65758638    0.34570666   -0.15960009    0.00089440    0.89081125    0.56437212   -0.42569372   -0.38142527
   -0.62592495    0.38045803   -0.15871610    0.00046909    0.89902917   -0.38630670    0.55608950   -0.41118515
   -0.62580461    0.38630195   -0.15840271    0.00059407    0.89563385   -0.38351728    0.55869775   -0.41610615
   -0.02198536   -0.73561431   -0.15952663    0.00002719    0.89551170   -0.41714979   -0.38404850    0.55856316
   -0.64211814    0.35234265   -0.15988115    0.00018665    0.89932921   -0.41130747    0.55546930   -0.38733618
   -0.62613167    0.38966347   -0.15817208    0.00066935    0.89378517   -0.38218554    0.56052190   -0.41891127
   -0.63015761    0.40208916   -0.15751295    0.00093353    0.88963896   -0.37948153    0.56928741   -0.42937827
   -0.65851241    0.34552725   -0.15949492    0.00060714    0.89071516   -0.42641549    0.56504458   -0.38121599
   -0.62914070    0.36833168   -0.15957473    0.00022040    0.90412064   -0.39443333    0.55280452   -0.40107948
   -0.63397482    0.36021334   -0.15985777    0.00004729    0.90403302   -0.40174446    0.55277169   -0.39416602
   -0.64367571    0.35127730   -0.15984610    0.00022693    0.89827872   -0.41292528    0.55619658   -0.38639234
   -0.63904021    0.35480991   -0.15992269    0.00010574    0.90136400   -0.40793911    0.55420352   -0.38950194
