SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_col-U=7-FM-origin,7,-26.77221186,1,-26.77221186,4,42,0,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_col-U=7-AFM-221-stripe3,7,-113.17810271,4,-28.2945256775,16,168,0,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_col-U=7-FM-221,7,-113.15889108,4,-28.28972277,16,168,0,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_col-U=7-AFM-221-stripe2,7,-113.16623276,4,-28.29155819,16,168,0,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_col-U=7-FM-gen3gen31,7,-84.90425049,3,-28.30141683,12,126,0,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_col-U=7-AFM-gen3gen31-upup,7,-84.87930644,3,-28.2931021466667,12,126,0,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_col-U=7-PM-origin,7,-26.436319,1,-26.436319,4,42,0,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_col-U=7-AFM-221-stripe1,7,-113.16625703,4,-28.2915642575,16,168,0,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_col-U=7-AFM-112,7,-53.5426875,2,-26.77134375,8,84,0,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_col-U=7-FM-112,7,-53.54459707,2,-26.772298535,8,84,0,0,6,6,6,6,CONVERGE
