SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=7-AFM-221-stripe2-x,7,-113.16837192,4,-28.29209298,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-221-stripe1-z,7,-113.16824516,4,-28.29206129,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-221-stripe3-x,7,-112.98496516,4,-28.24624129,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-221-stripe1-x,7,-113.16688416,4,-28.29172104,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-221-stripe2-z,7,-113.16733383,4,-28.2918334575,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-112-z,7,-56.69734674,2,-28.34867337,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-gen3gen31-z,7,-84.88318193,3,-28.2943939766667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-gen3gen31-upu,7,-84.75205406,3,-28.2506846866667,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-221-z,7,-113.16009153,4,-28.2900228825,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-112-x,7,-56.58344336,2,-28.29172168,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-112-x,7,-56.58163773,2,-28.290818865,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-origin-z,7,-28.34818548,1,-28.34818548,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-221-stripe3-z,7,-113.2834781,4,-28.320869525,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=7-PM-origin,7,-26.43631917,1,-26.43631917,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-gen3gen31-120,7,-85.07313698,3,-28.3577123266667,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-112-z,7,-56.42294622,2,-28.21147311,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-gen3gen31-x,7,-84.87611761,3,-28.2920392033333,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-origin-x,7,-28.29036,1,-28.29036,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-221-x,7,-113.16731258,4,-28.291828145,16,168,1,0,12,12,12,12,CONVERGE
