SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_col-U=9-FM-origin,9,-26.44765211,1,-26.44765211,4,42,0,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_col-U=9-AFM-221-stripe3,9,-113.80723395,4,-28.4518084875,16,168,0,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_col-U=9-FM-221,9,-113.80053107,4,-28.4501327675,16,168,0,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_col-U=9-AFM-221-stripe2,9,-113.81202924,4,-28.45300731,16,168,0,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_col-U=9-FM-gen3gen31,9,-85.351493,3,-28.4504976666667,12,126,0,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_col-U=9-AFM-gen3gen31-upup,9,-85.4146295,3,-28.4715431666667,12,126,0,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_col-U=9-PM-origin,9,-26.50251765,1,-26.50251765,4,42,0,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_col-U=9-AFM-221-stripe1,9,-113.80949601,4,-28.4523740025,16,168,0,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_col-U=9-AFM-112,9,-52.89922546,2,-26.44961273,8,84,0,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_col-U=9-FM-112,9,-52.90069471,2,-26.450347355,8,84,0,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe2-x,9,-113.80990462,4,-28.452476155,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe1-z,9,-113.81074537,4,-28.4526863425,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe3-x,9,-113.84019997,4,-28.4600499925,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe1-x,9,-113.80948645,4,-28.4523716125,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe2-z,9,-113.81097153,4,-28.4527428825,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-112-z,9,-57.06713087,2,-28.533565435,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-gen3gen31-z,9,-85.35250193,3,-28.4508339766667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-gen3gen31-upu,9,-85.37063534,3,-28.4568784466667,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-221-z,9,-113.83482357,4,-28.4587058925,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-112-x,9,-57.15030859,2,-28.575154295,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-112-x,9,-56.91532561,2,-28.457662805,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-origin-z,9,-28.53366574,1,-28.53366574,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-221-stripe3-z,9,-112.93227598,4,-28.233068995,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=9-PM-origin,9,-26.50251757,1,-26.50251757,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=9-AFM-gen3gen31-120,9,-85.69312543,3,-28.5643751433333,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-112-z,9,-57.06793679,2,-28.533968395,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-gen3gen31-x,9,-85.35483164,3,-28.4516105466667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-origin-x,9,-28.53450894,1,-28.53450894,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=9-FM-221-x,9,-113.82975984,4,-28.45743996,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe2-x,9,-116.52647379,4,-29.1316184475,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe1-z,9,-116.50447292,4,-29.12611823,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe3-x,9,-116.55049502,4,-29.137623755,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe1-x,9,-116.51373708,4,-29.12843427,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe2-z,9,-116.52459523,4,-29.1311488075,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-112-z,9,-58.44897808,2,-29.22448904,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=9-FM-gen3gen31-z,9,-87.40554712,3,-29.1351823733333,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-gen3gen31-upupd,9,-87.47900241,3,-29.15966747,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=9-FM-221-z,9,-116.60358338,4,-29.150895845,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=9-FM-112-x,9,-58.50391898,2,-29.25195949,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-112-x,9,-58.26653245,2,-29.133266225,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=9-FM-origin-z,9,-29.22609917,1,-29.22609917,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe3-z,9,-115.61759896,4,-28.90439974,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-PM-origin,9,-27.20525989,1,-27.20525989,4,42,1,1,0,0,0,0,CONVERGE
