SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-soc_ncol-U=9-AFM-221-stripe2-x,9,-116.52647379,4,-29.1316184475,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe1-z,9,-116.50447292,4,-29.12611823,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe3-x,9,-116.55049502,4,-29.137623755,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe1-x,9,-116.51373708,4,-29.12843427,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe2-z,9,-116.52459523,4,-29.1311488075,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-112-z,9,-58.44897808,2,-29.22448904,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=9-FM-gen3gen31-z,9,-87.40554712,3,-29.1351823733333,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-gen3gen31-upupd,9,-87.47900241,3,-29.15966747,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=9-FM-221-z,9,-116.60358338,4,-29.150895845,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=9-FM-112-x,9,-58.50391898,2,-29.25195949,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-112-x,9,-58.26653245,2,-29.133266225,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=9-FM-origin-z,9,-29.22609917,1,-29.22609917,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-221-stripe3-z,9,-115.61759896,4,-28.90439974,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=9-PM-origin,9,-27.20525989,1,-27.20525989,4,42,1,1,0,0,0,0,CONVERGE
NaTmO2-soc_ncol-U=9-AFM-gen3gen31-120,9,-87.66363228,3,-29.22121076,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=9-FM-112-z,9,-58.43047423,2,-29.215237115,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=9-FM-gen3gen31-x,9,-87.39706539,3,-29.13235513,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=9-FM-origin-x,9,-29.20774219,1,-29.20774219,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=9-FM-221-x,9,-116.56265908,4,-29.14066477,16,168,1,1,12,12,12,12,CONVERGE
